Atmospheric Sciences Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://atmoschem.asrc.cestm.albany.edu/~cloudwater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteface 2022 VALID DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABNO,DUMP TIME,COLLECTION_HOURS,COLL_HR_F,POOL_VOL ml,LWC g m-3,LWC_F,TEMP 蚓,WINDDIR_AVG 蚊Z,OCTANT,AVG_S_WSP m s-1,LABPH,LABPH_F,SPCOND 猶 cm-1,SPCOND_F,HION 畫q L-1,CA mg L-1,CA_F,CA 畫q L-1,MG mg L-1,MG_F,MG 畫q L-1,NA mg L-1,NA_F,NA 畫q L-1,K mg L-1,K_F,K 畫q L-1,NH4 mg L-1,NH4_F,NH4 畫q L-1,SO4 mg L-1,SO4_F,SO4 畫q L-1,NO3 mg L-1,NO3_F,NO3 畫q L-1,CL mg L-1,CL_F,CL 畫q L-1,TOC 痠ols C L-1,TOC_F,TN mg L-1,TN_F,COMMENT,CATION_ANION_RATIO,SUM_CATIONS 畫q L-1,SUM_ANIONS 畫q L-1,RPD,MP_TEST,MISS_MAJ_ION,Glyoxalate_ppb,Formate_ppb,AcetateGlycolate_ppb,Lactate_ppb,Malonate_ppb,Oxalate_ppb,Pyruvate_ppb,SuccinateMalate_ppb
2215304,6/2/2022 6:00,12.0,,2312,0.703,,M,217,SW,8.0,6.237,,5.9,,0.58,0.21,,10.43,0.08,,6.25,0.01,,0.35,0.04,,1.00,0.24,,13.14,0.51,,10.80,0.65,,10.45,0.03,,0.87,123.08,,,M,filtered,1.43,31.74,22.13,35.70,,,93,325,221,19,M,48,24,M
2215401,6/3/2022 18:00,6.3,,1183,0.363,,M,59,NE,7.1,5.6079998,,12.0,,2.47,0.45,,22.66,0.08,,6.17,0.02,,0.70,0.10,,2.61,0.76,,42.24,1.17,,24.83,1.73,,27.95,0.08,,2.23,365.50,,,,filtered,1.40,76.82,55.01,33.09,,,91,250,198,19,M,127,22,M
2215901,6/8/2022 18:00,7.2,,425,0.477,,M,282,W,12.8,5.9099998,,6.5,,1.23,0.20,,9.78,0.07,,5.68,0.00,,-0.22,0.12,,3.04,0.22,,12.36,0.51,,10.80,0.49,,7.87,0.06,,1.61,376.00,,,,filtered,1.57,31.87,20.28,44.45,,,90,98,72,21,M,75,22,M
2216003,6/9/2022 18:00,8.0,,1866,0.473,,M,177,S,4.7,5.2909999,,3.5,,5.12,0.05,,2.40,0.03,,2.22,0.00,,-0.13,0.06,,1.46,0.12,,6.49,0.23,,4.87,0.27,,4.37,0.02,,0.45,145.00,,,,filtered,1.81,17.51,9.69,57.50,,,0,133,83,33,M,35,0,M
2216104,6/10/2022 6:00,12.0,,4407,0.536,,M,283,W,12.8,5.145,,5.9,,7.16,-0.07,,-3.54,0.02,,1.40,0.00,,-0.09,0.03,,0.72,0.19,,10.42,0.53,,11.27,0.65,,10.48,0.02,,0.65,121.58,,,,filtered,0.72,16.02,22.40,-33.22,,,103,157,39,19,M,43,24,M
2216101,6/10/2022 18:00,11.0,,2048,0.447,,M,236,SW,9.1,5.2379999,,9.8,,5.78,0.25,,12.23,0.05,,3.87,0.02,,0.91,0.09,,2.17,0.43,,24.06,1.37,,29.11,0.96,,15.51,0.05,,1.27,297.42,,,,filtered,1.07,48.98,45.89,6.51,,,121,101,20,26,M,109,0,M
2216902,6/18/2022 6:00,9.1,,2634,0.511,,M,265,W,16.6,6.4390001,,5.3,,0.36,0.32,,15.92,0.05,,4.44,0.02,,1.00,0.09,,2.30,0.08,,4.32,0.18,,3.91,0.34,,5.44,0.02,,0.42,98.75,,,,filtered,2.90,28.35,9.77,97.48,,,M,M,M,M,M,M,M,M
2219404,7/13/2022 6:00,10.0,,3852,0.548,,M,249,W,10.1,6.1929998,,6.2,,0.64,0.16,,7.83,0.04,,3.29,0.01,,0.43,0.05,,1.25,0.34,,18.74,0.41,,8.67,0.60,,9.73,0.03,,0.71,251.08,,,,filtered,1.68,32.19,19.11,51.01,,,0,448,160,33,M,63,25,M
2219501,7/13/2022 18:00,2.4,,M,0.463,,M,274,W,8.7,5.3959999,,6.3,,4.02,0.16,,7.83,0.04,,3.62,0.05,,2.35,0.11,,2.86,0.03,,1.61,0.44,,9.25,0.48,,7.79,0.09,,2.48,778.00,,,,filtered,1.14,22.27,19.52,13.14,,,M,M,M,M,M,65,M,M
2219502,7/14/2022 18:00,3.1,,M,0.205,,M,272,W,5.3,5.8909998,,5.6,,1.29,0.09,,4.39,0.04,,3.46,0.06,,2.70,0.11,,2.81,0.09,,4.93,0.34,,7.17,0.46,,7.43,0.06,,1.72,323.50,,,,filtered,1.20,19.57,16.32,18.10,,,0,61,16,23,M,46,0,M
2220002,7/19/2022 6:00,12.0,,5733,0.740,,M,232,SW,11.1,5.698,,4.2,,2.00,-0.02,,-1.15,0.01,,0.82,0.03,,1.13,0.05,,1.36,0.09,,4.88,0.39,,8.21,0.43,,6.89,0.01,,0.39,119.25,,,,filtered,0.58,9.03,15.49,-52.68,,,0,48,37,44,M,25,24,M
2220003,7/19/2022 18:00,7.8,,1199,0.482,,M,233,SW,14.9,5.3559999,,15.1,,4.41,0.47,,23.20,0.07,,5.51,0.03,,1.22,0.05,,1.15,0.96,,53.22,1.69,,35.89,1.74,,28.13,0.06,,1.72,579.17,,,,filtered,1.35,88.68,65.74,29.71,,,0,121,46,0,M,372,30,M
2220101,7/20/2022 18:00,2.3,,420,0.519,,M,242,SW,12.6,5.3569999,,13.9,,4.40,0.63,,31.24,0.09,,7.32,0.05,,1.96,0.05,,1.33,0.76,,42.30,0.99,,20.96,1.54,,24.89,0.06,,1.83,924.83,,,,filtered,1.86,88.51,47.68,59.96,,,0,687,869,101,M,205,42,M
2220601,7/25/2022 18:00,5.3,,522,0.666,,M,215,SW,8.8,6.5289998,,13.4,,0.30,0.48,,23.75,0.06,,4.61,0.05,,2.04,0.06,,1.48,1.13,,62.36,1.11,,23.54,1.70,,27.35,0.07,,1.89,255.75,,,,filtered,1.79,94.55,52.78,56.70,,,0,204,89,24,M,57,0,M
2220702,7/26/2022 6:00,8.9,,652,0.463,,M,234,SW,13.4,6.6469998,,9.5,,0.23,0.59,,29.44,0.06,,5.18,0.03,,1.35,0.06,,1.51,0.49,,27.16,0.40,,8.57,0.75,,12.08,0.05,,1.27,258.33,,,,filtered,2.96,64.87,21.92,98.98,,,0,216,33,24,M,38,0,M
2220701,7/26/2022 18:00,4.6,,269,0.351,,M,228,SW,7.5,6.474,,7.9,,0.34,0.44,,22.11,0.05,,3.95,0.04,,1.78,0.05,,1.28,0.05,,2.66,0.28,,5.89,0.48,,7.73,0.04,,1.10,227.25,,,,filtered,2.18,32.11,14.71,74.31,,,0,46,20,0,M,0,0,M
2221103,7/30/2022 18:00,12.0,,3590,0.569,,M,241,SW,14.8,6.3299999,,4.5,,0.47,0.19,,9.58,0.05,,4.11,0.03,,1.48,0.02,,0.59,0.06,,3.44,0.21,,4.38,0.27,,4.42,0.01,,0.34,191.33,,,,filtered,2.15,19.66,9.14,73.10,,,0,103,49,122,M,33,0,M
2221204,7/31/2022 6:00,11.9,,3913,0.438,,M,242,SW,15.0,6.204,,9.1,,0.63,0.36,,18.16,0.06,,5.10,0.02,,0.91,0.04,,0.90,0.54,,29.99,0.73,,15.58,0.88,,14.18,0.04,,1.07,370.25,,,,filtered,1.81,55.69,30.83,57.45,,,0,59,37,0,M,55,0,M
2221504,8/3/2022 6:00,5.6,,310,0.493,,M,274,W,9.6,6.6240001,,10.4,,0.24,0.35,,17.42,0.07,,5.92,0.03,,1.44,0.04,,0.90,0.68,,37.42,0.46,,9.84,0.88,,14.27,0.06,,1.58,209.58,,,,filtered,2.46,63.33,25.70,84.54,,,0,204,81,171,M,BDL,0,M
2222102,8/9/2022 6:00,11.9,,466,0.816,,M,217,SW,11.1,6.3140001,,14.2,,0.49,0.36,,18.06,0.07,,5.60,0.12,,5.31,0.10,,2.66,1.15,,63.97,1.64,,34.91,1.89,,30.47,0.11,,3.02,170.50,,,,filtered,1.40,96.08,68.40,33.67,,,0,76,25,76,M,36,0,M
2222204,8/10/2022 6:00,10.6,,139,0.259,,M,244,SW,5.6,6.3610001,,3.9,,0.44,0.18,,8.78,0.03,,2.06,0.01,,0.57,0.05,,1.30,0.16,,8.76,0.11,,2.36,0.35,,5.56,0.03,,0.73,61.83,,,,filtered,2.53,21.90,8.66,86.68,,,0,190,71,0,M,BDL,0,M
2222302,8/11/2022 6:00,5.9,,585,0.30,,M,227,SW,9.77,6.2399998,,12.0,,0.58,0.23,,11.38,0.03,,2.22,0.04,,1.70,0.06,,1.51,1.11,,61.26,0.76,,16.05,1.76,,28.35,0.08,,2.20,420.50,,,,filtered,1.69,78.63,46.61,51.15,,,0,64,24,60,M,81,0,M
2223003,8/18/2022 18:00,6.4,,2589,0.556,,M,273,W,12.0,6.1789999,,7.6,,0.66,0.62,,30.99,0.04,,3.54,0.00,,0.00,0.01,,0.23,0.34,,18.68,0.38,,8.02,0.68,,10.98,0.03,,0.90,364.50,,,,filtered,2.72,54.10,19.90,92.42,,,90,188,138,158,M,103,27,M
2223502,8/23/2022 6:00,6.4,,327,0.224,,M,129,SE,6.9,6.2589998,,34.1,,0.55,1.08,,53.75,0.26,,20.98,0.95,,41.32,0.09,,2.25,2.12,,117.47,2.77,,58.81,6.52,,105.14,1.14,,32.16,554.92,,,,filtered,1.21,236.32,196.10,18.60,,,M,M,M,M,M,M,M,M
2223503,8/23/2022 18:00,3.2,,150,0.467,,M,173,S,7.3,6.3150001,,10.1,,0.48,0.18,,8.78,0.08,,6.34,0.12,,5.31,0.06,,1.53,0.35,,19.62,0.61,,13.01,1.37,,22.01,0.14,,3.98,149.50,,,,filtered,1.08,42.07,39.00,7.55,,,M,M,M,M,M,M,M,M
2223604,8/24/2022 6:00,9.1,,95,0.568,,M,268,W,7.7,6.5469999,,11.2,,0.28,0.58,,29.04,0.07,,5.84,0.02,,1.04,0.11,,2.71,0.50,,27.55,0.53,,11.23,1.47,,23.69,0.07,,2.03,,,,,filtered,1.80,66.47,36.95,57.10,,,M,M,M,M,M,M,M,M
2223601,8/24/2022 18:00,6.5,,42,0.520,,M,270,W,7.7,6.0489998,,,,0.89,0.00,,0.25,0.06,,4.77,0.01,,0.52,0.06,,1.64,0.47,,25.94,0.60,,12.80,1.43,,23.01,0.11,,3.19,,,,,filtered,0.87,34.01,39.00,-13.67,,,M,M,M,M,M,M,M,M
2223702,8/25/2022 6:00,7.1,,175,0.269,,M,239,SW,13.0,6.1620002,,13.0,,0.69,0.46,,23.10,0.06,,5.35,0.01,,0.30,0.03,,0.77,1.10,,60.76,0.87,,18.41,1.33,,21.48,0.06,,1.64,602.33,,,,filtered,2.19,90.97,41.53,74.62,,,106,227,164,236,M,128,28,M
2224101,8/29/2022 18:00,5.3,,153,0.770,,M,210,SW,7.3,5.5419998,,27.3,,2.87,0.36,,17.77,0.09,,7.08,0.16,,7.00,0.14,,3.48,2.57,,142.41,3.88,,82.43,3.35,,54.03,0.19,,5.42,562.17,,,,filtered,1.27,180.59,141.88,24.01,,,129,81,141,116,M,133,26,M
2224301,8/31/2022 18:00,6.3,,114,0.441,,M,222,SW,12.2,5.9720001,,11.8,,1.07,0.21,,10.23,0.07,,5.51,0.04,,1.61,0.08,,2.07,0.93,,51.39,1.26,,26.81,1.13,,18.19,0.09,,2.54,369.58,,,,filtered,1.51,71.87,47.54,40.75,,,M,M,M,M,M,56,M,M
2224403,9/1/2022 18:00,6.0,,163,0.448,,M,238,SW,13.3,6.2880001,,5.6,,0.52,-0.02,,-1.10,0.03,,2.39,0.01,,0.26,0.11,,2.92,0.46,,25.56,0.28,,6.00,0.29,,4.74,0.05,,1.49,227.17,,,,filtered,2.50,30.53,12.23,85.59,,,107,45,86,17,M,BDL,24,M
2224704,9/4/2022 6:00,9.8,,488,0.506,,M,225,SW,10.2,6.0289998,,8.4,,0.94,0.03,,1.25,0.04,,3.13,0.10,,4.52,0.12,,2.97,0.55,,30.66,0.61,,13.01,1.12,,18.01,0.10,,2.88,220.75,,,,filtered,1.28,43.45,33.90,24.68,,,0,49,19,0,M,39,0,M
2224806,9/5/2022 6:00,7.1,,478,0.545,,M,211,SW,5.3,5.2800002,,30.9,,5.25,0.83,,41.47,0.16,,13.33,0.14,,5.92,0.09,,2.17,2.96,,164.37,3.90,,82.82,5.70,,91.99,0.22,,6.12,379.75,,,,filtered,1.28,232.47,180.93,24.93,,,91,267,117,96,M,90,31,M
2224807,9/5/2022 18:00,9.5,,488,0.687,,M,174,S,3.3,5.3080001,,19.0,,4.92,0.31,,15.67,0.08,,6.25,0.04,,1.78,0.07,,1.79,1.52,,83.98,2.45,,52.16,3.02,,48.69,0.10,,2.74,238.67,,,,filtered,1.10,114.37,103.58,9.90,,,0,55,59,0,M,54,0,M
2225501,9/12/2022 18:00,1.5,,244,0.119,,M,77,E,5.7,5.8499999,,10.1,,1.41,0.00,,-0.15,0.04,,3.54,0.22,,9.44,0.09,,2.43,0.72,,40.08,0.79,,16.69,1.69,,27.32,0.18,,4.94,234.17,,,,filtered,1.16,56.74,48.95,14.75,,,0,50,17,0,M,70,0,M
2225603,9/13/2022 18:00,9.9,,649,0.479,,M,171,S,7.0,5.9299998,,7.6,,1.17,0.08,,3.79,0.04,,3.37,0.01,,0.26,0.04,,1.10,0.55,,30.32,0.94,,20.01,0.79,,12.71,0.04,,1.02,214.17,,,,filtered,1.19,40.02,33.73,17.05,,,98,50,35,57,M,48,22,M
2225801,9/15/2022 18:00,5.4,,3954,0.484,,M,286,W,7.6,5.8189998,,3.3,,1.52,-0.01,,-0.40,0.02,,1.97,0.00,,0.13,0.02,,0.61,0.17,,9.59,0.33,,7.00,0.11,,1.73,0.05,,1.35,105.58,,,,filtered,1.33,13.42,10.07,28.45,,,0,44,111,0,M,BDL,33,M
2225901,9/16/2022 18:00,M,,M,M,,M,M,M,M,6.0679998,,2.8,,0.86,0.04,,1.75,0.05,,3.87,0.00,,0.22,0.05,,1.33,0.04,,1.94,0.15,,3.10,0.07,,1.18,0.06,,1.58,57.67,,,,filtered,1.70,9.95,5.86,51.73,,,0,198,117,0,M,BDL,0,M
2226002,9/17/2022 6:00,M,,M,M,,M,M,M,M,6.1020002,,6.3,,0.79,0.13,,6.39,0.07,,6.01,0.14,,6.13,0.09,,2.28,0.19,,10.37,0.41,,8.80,0.66,,10.60,0.31,,8.69,124.00,,,,filtered,1.14,31.96,28.09,12.89,,,0,225,136,0,M,BDL,0,M
2226302,9/20/2022 6:00,M,,M,M,,M,M,M,M,5.4959998,,7.0,,3.19,0.00,,-0.15,0.02,,1.81,0.00,,0.22,0.05,,1.23,0.32,,17.52,0.82,,17.35,1.04,,16.77,0.03,,0.85,119.75,,,,filtered,0.68,23.79,34.97,-38.04,,,0,52,27,0,M,M,0,M
2226503,9/22/2022 8:00,M,,M,M,,M,M,M,M,6.079,,7.5,,0.83,0.29,,14.37,0.03,,2.80,0.00,,-0.17,0.03,,0.74,0.48,,26.39,0.81,,17.31,0.80,,12.84,0.04,,1.10,131.33,,,,filtered,1.44,44.95,31.24,35.98,,,M,M,M,M,M,0,M,M
2226901,9/26/2022 18:00,M,,M,M,,M,M,M,M,6.3530002,,9.9,,0.44,0.18,,9.08,0.05,,3.87,0.00,,0.17,0.14,,3.68,0.85,,47.12,1.20,,25.58,0.88,,14.14,0.03,,0.96,167.58,,,,filtered,1.58,64.37,40.68,45.10,,,M,M,M,M,M,0,M,M
2227002,9/27/2022 6:00,M,,M,M,,M,M,M,M,5.9229999,,4.0,,1.19,0.01,,0.50,0.02,,1.56,-0.01,,-0.35,0.02,,0.51,0.16,,9.04,0.42,,9.02,0.46,,7.39,0.01,,0.37,68.42,,,,filtered,0.74,12.45,16.77,-29.58,,,M,M,M,M,M,BDL,M,M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
